# ========
# captured on: Sun Aug  9 12:03:32 2015
# hostname : dev-1
# os release : 3.13.0-61-generic
# perf version : 3.13.11-ckt22
# arch : x86_64
# nrcpus online : 4
# nrcpus avail : 4
# cpudesc : Intel(R) Core(TM) i7-3667U CPU @ 2.00GHz
# cpuid : GenuineIntel,6,58,9
# total memory : 2043140 kB
# cmdline : /usr/lib/linux-tools-3.13.0-61/perf record ./play_icfp2015 -f problems/problem_0.json 
# event : name = cpu-clock, type = 1, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, excl_host = 0, excl_guest = 1, precise_ip = 0, attr_mmap2 = 0, attr_mmap  = 1, attr_mmap_data = 0
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# pmu mappings: cpu = 4, software = 1, tracepoint = 2, breakpoint = 5
# ========
#
# Samples: 9K of event 'cpu-clock'
# Event count (approx.): 2393250000
#
# Overhead        Command        Shared Object                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         Symbol
# ........  .............  ...................  .............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.26%  play_icfp2015  play_icfp2015        [.] std::vector<bool, std::allocator<bool> >::vector(std::vector<bool, std::allocator<bool> >&&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
     0.26%  play_icfp2015  play_icfp2015        [.] (anonymous namespace)::Item::operator<((anonymous namespace)::Item const&) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
     0.26%  play_icfp2015  play_icfp2015        [.] (anonymous namespace)::Item::operator=((anonymous namespace)::Item&&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
     0.26%  play_icfp2015  play_icfp2015        [.] std::vector<char, std::allocator<char> >::operator=(std::vector<char, std::allocator<char> >&&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
     0.26%  play_icfp2015  [kernel.kallsyms]    [k] _raw_spin_unlock_irqrestore                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
     0.25%  play_icfp2015  play_icfp2015        [.] std::vector<char, std::allocator<char> >::vector(std::vector<char, std::allocator<char> > const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
     0.25%  play_icfp2015  play_icfp2015        [.] std::_Vector_base<char, std::allocator<char> >::get_allocator() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
     0.25%  play_icfp2015  libstdc++.so.6.0.19  [.] std::string::swap(std::string&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
     0.24%  play_icfp2015  play_icfp2015        [.] std::vector<bool, std::allocator<bool> >::~vector()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
     0.24%  play_icfp2015  play_icfp2015        [.] std::remove_reference<std::allocator<char>&>::type&& std::move<std::allocator<char>&>(std::allocator<char>&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
     0.24%  play_icfp2015  [vdso]               [.] 0x0000000000000ef0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
     0.23%  play_icfp2015  play_icfp2015        [.] std::remove_reference<std::allocator<unsigned long>&>::type&& std::move<std::allocator<unsigned long>&>(std::allocator<unsigned long>&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
     0.22%  play_icfp2015  play_icfp2015        [.] std::_Iter_base<unsigned long*, false>::_S_base(unsigned long*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
     0.22%  play_icfp2015  play_icfp2015        [.] std::remove_reference<std::vector<char, std::allocator<char> >&>::type&& std::move<std::vector<char, std::allocator<char> >&>(std::vector<char, std::allocator<char> >&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
     0.21%  play_icfp2015  play_icfp2015        [.] std::operator-(std::_Bit_iterator_base const&, std::_Bit_iterator_base const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
     0.21%  play_icfp2015  play_icfp2015        [.] std::allocator<unsigned long>::allocator(std::allocator<unsigned long> const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
     0.20%  play_icfp2015  play_icfp2015        [.] std::_Vector_base<char, std::allocator<char> >::_M_create_storage(unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
     0.20%  play_icfp2015  play_icfp2015        [.] std::_Bvector_base<std::allocator<bool> >::_Bvector_impl::~_Bvector_impl()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
     0.20%  play_icfp2015  play_icfp2015        [.] (anonymous namespace)::Item::Item((anonymous namespace)::Item&&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
     0.20%  play_icfp2015  libstdc++.so.6.0.19  [.] std::string::compare(char const*) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
     0.19%  play_icfp2015  play_icfp2015        [.] _ZNSaIcEC1Ev@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
     0.19%  play_icfp2015  play_icfp2015        [.] std::_Niter_base<unsigned long*>::iterator_type std::__niter_base<unsigned long*>(unsigned long*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
     0.19%  play_icfp2015  play_icfp2015        [.] std::vector<bool, std::allocator<bool> >::_M_erase_at_end(std::_Bit_iterator)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
     0.19%  play_icfp2015  play_icfp2015        [.] unsigned long* std::__copy_move_a2<false, unsigned long*, unsigned long*>(unsigned long*, unsigned long*, unsigned long*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
     0.19%  play_icfp2015  play_icfp2015        [.] std::_Bit_iterator std::__copy_move_a<false, std::_Bit_const_iterator, std::_Bit_iterator>(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
     0.19%  play_icfp2015  play_icfp2015        [.] std::_Bvector_base<std::allocator<bool> >::_M_get_Bit_allocator()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
     0.19%  play_icfp2015  play_icfp2015        [.] (anonymous namespace)::Item::~Item()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
     0.19%  play_icfp2015  play_icfp2015        [.] std::vector<bool, std::allocator<bool> >::operator=(std::vector<bool, std::allocator<bool> >&&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
     0.19%  play_icfp2015  play_icfp2015        [.] std::remove_reference<unsigned long*&>::type&& std::move<unsigned long*&>(unsigned long*&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
     0.19%  play_icfp2015  play_icfp2015        [.] std::vector<char, std::allocator<char> >::vector(std::allocator<char> const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
     0.19%  play_icfp2015  play_icfp2015        [.] void std::__alloc_on_move<std::allocator<char> >(std::allocator<char>&, std::allocator<char>&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
     0.18%  play_icfp2015  play_icfp2015        [.] std::_Bit_iterator_base::_M_incr(long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
     0.18%  play_icfp2015  play_icfp2015        [.] bool __gnu_cxx::operator!=<Cell const*, std::vector<Cell, std::allocator<Cell> > >(__gnu_cxx::__normal_iterator<Cell const*, std::vector<Cell, std::allocator<Cell> > > const&, __gnu_cxx::__normal_iterator<Cell const*, std::vector<Cell, std::allocator<Cell> > > const&)                                                                                                                                                                                                                                                                                                                                                                                                                                             
     0.18%  play_icfp2015  play_icfp2015        [.] std::_Bit_iterator std::__copy_move_a2<false, std::_Bit_const_iterator, std::_Bit_iterator>(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
     0.18%  play_icfp2015  play_icfp2015        [.] std::_Niter_base<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > >(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >)                                                                                                                                                                                                                                                                                                                                                                                                    
     0.18%  play_icfp2015  play_icfp2015        [.] std::_Vector_base<char, std::allocator<char> >::_Vector_impl::_Vector_impl(std::allocator<char>&&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
     0.18%  play_icfp2015  play_icfp2015        [.] std::remove_reference<(anonymous namespace)::Item&>::type&& std::move<(anonymous namespace)::Item&>((anonymous namespace)::Item&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
     0.18%  play_icfp2015  libc-2.19.so         [.] __memcmp_sse4_1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
     0.17%  play_icfp2015  play_icfp2015        [.] bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
     0.17%  play_icfp2015  play_icfp2015        [.] __gnu_cxx::__normal_iterator<Cell const*, std::vector<Cell, std::allocator<Cell> > >::operator*() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
     0.17%  play_icfp2015  play_icfp2015        [.] std::_Miter_base<std::_Bit_const_iterator>::iterator_type std::__miter_base<std::_Bit_const_iterator>(std::_Bit_const_iterator)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
     0.17%  play_icfp2015  play_icfp2015        [.] unsigned long* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<unsigned long>(unsigned long const*, unsigned long const*, unsigned long*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
     0.17%  play_icfp2015  play_icfp2015        [.] std::_Vector_base<char, std::allocator<char> >::_M_get_Tp_allocator() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
     0.16%  play_icfp2015  play_icfp2015        [.] _ZNSsC1EPKcRKSaIcE@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
     0.16%  play_icfp2015  play_icfp2015        [.] std::_Vector_base<char, std::allocator<char> >::_Vector_impl::~_Vector_impl()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
     0.16%  play_icfp2015  play_icfp2015        [.] void std::_Destroy_aux<true>::__destroy<char*>(char*, char*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
     0.16%  play_icfp2015  play_icfp2015        [.] std::vector<char, std::allocator<char> >::begin() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
     0.16%  play_icfp2015  play_icfp2015        [.] __gnu_cxx::__normal_iterator<(anonymous namespace)::Item*, std::vector<(anonymous namespace)::Item, std::allocator<(anonymous namespace)::Item> > >::difference_type __gnu_cxx::operator-<(anonymous namespace)::Item*, std::vector<(anonymous namespace)::Item, std::allocator<(anonymous namespace)::Item> > >(__gnu_cxx::__normal_iterator<(anonymous namespace)::Item*, std::vector<(anonymous namespace)::Item, std::allocator<(anonymous namespace)::Item> > > const&, __gnu_cxx::__normal_iterator<(anonymous namespace)::Item*, std::vector<(anonymous namespace)::Item, std::allocator<(anonymous namespace)::Item> > > const&)                                                                                 
     0.16%  play_icfp2015  libstdc++.so.6.0.19  [.] std::allocator<char>::allocator()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
     0.15%  play_icfp2015  play_icfp2015        [.] _ZNSaIcED1Ev@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
     0.15%  play_icfp2015  play_icfp2015        [.] std::_Vector_base<char, std::allocator<char> >::_Vector_base(std::allocator<char> const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
     0.15%  play_icfp2015  play_icfp2015        [.] std::allocator<unsigned long>::allocator<bool>(std::allocator<bool> const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
     0.15%  play_icfp2015  play_icfp2015        [.] char* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*>(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*)                                                                                                                                                                                                                                                                                                                                                                                                         
     0.15%  play_icfp2015  play_icfp2015        [.] std::_Vector_base<char, std::allocator<char> >::_Vector_base(std::_Vector_base<char, std::allocator<char> >&&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
     0.15%  play_icfp2015  play_icfp2015        [.] char* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<char>(char const*, char const*, char*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
     0.14%  play_icfp2015  play_icfp2015        [.] std::_Niter_base<std::_Bit_const_iterator>::iterator_type std::__niter_base<std::_Bit_const_iterator>(std::_Bit_const_iterator)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
     0.14%  play_icfp2015  play_icfp2015        [.] __gnu_cxx::new_allocator<char>::allocate(unsigned long, void const*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
     0.14%  play_icfp2015  play_icfp2015        [.] std::_Miter_base<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > >(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >)                                                                                                                                                                                                                                                                                                                                                                                                    
     0.13%  play_icfp2015  play_icfp2015        [.] State::UpdateRotAndLock(Game const&, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
     0.13%  play_icfp2015  play_icfp2015        [.] __gnu_cxx::__normal_iterator<Cell const*, std::vector<Cell, std::allocator<Cell> > >::operator++()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
